Title,Price,Date
funny data analyst definition data scientist T-Shirt,19.9,2023-01-09
funny data analyst definition data scientist T-Shirt,19.9,2023-01-09
funny data analyst definition data scientist T-Shirt,19.9,2023-01-09
funny data analyst definition data scientist T-Shirt,19.9,2023-01-09
